title,description,text,date,language
Ethereum and Bitcoin Prices Are Tanking. Here’s Why One Expert Thinks Bitcoin Could Drop Even Lower - NextAdvisor,"<ol><li>Ethereum and Bitcoin Prices Are Tanking. Here’s Why One Expert Thinks Bitcoin Could Drop Even Lower  NextAdvisor
</li><li>Does the cryptocurrency crash pose a threat to the financial system?  Financial Post
</li><li>Going ‘To Zero’—Panic Is Sweeping…",Editorial IndependenceWe want to help you make more informed decisions. Some links on this page clearly marked may take you to a partner website and may result in us earning a referral commission. Fo… [+6022 chars],2022-05-09,en
Bitcoin plunges to lowest price since 2020 amid broader sell-off,"The ""stablecoin"" Tether briefly lost its peg to the dollar on Thursday morning.","23 with 16 posters participating, including story author
The price of one Bitcoin briefly fell below $27,000 on Thursday morning, the lowest price for the cryptocurrency since 2020. The world's lead… [+2982 chars]",2022-05-12,en
"Bitcoin, cryptocurrency shed $200 billion in one day - Financial Post","<ol><li>Bitcoin, cryptocurrency shed $200 billion in one day  Financial Post
</li><li>$1 Trillion Crypto Meltdown—Huge Crash Wipes Out The Price Of Bitcoin, Ethereum, BNB, XRP, Cardano, Solana, Terra’s Luna And Avalanche  Forbes
</li><li>Crypto market’s cra…","Contagion spreading to stock markets as investors see one more thing to worry about 
A massive sell-off has spread like wildfire through the world of cryptocurrencies.Photo by REUTERS/Dado Ruvic/Fil… [+7621 chars]",2022-05-12,en
Stablecoins are struggling to survive the crypto crash,"After the Terra stablecoin broke its dollar peg and dropped to less than 30 cents, investors have been watching closely for repercussions across cryptocurrency markets.","Once pegged to the dollar, Terras UST coin is now trading at 40 cents
Illustration by Alex Castro
Its been a crushing few days for the Terra project, in a week that has been unforgiving for cryptoc… [+4159 chars]",2022-05-12,en
Protecting Retirement Savings from Volatile Crypto Digital Investments,"Did you hear? You may be able to allocate some of your 401(k) retirement savings to bitcoin and other cryptocurrencies. Case in point, retirement juggernaut Fidelity. Fidelity launched a plan...","Did you hear? You may be able to allocate some of your 401(k) retirement savings to bitcoin and other cryptocurrencies.
Due - Due
Case in point, retirement juggernaut Fidelity.
Fidelity launched a… [+19721 chars]",2022-05-09,en
"What is bitcoin? A beginner's guide to the world's most popular type of cryptocurrency, and tips for investing in it",Bitcoin (BTC) is a digital currency that uses peer-to-peer technology to facilitate instant payments.,"Scarcely a news cycle goes by without some mention of bitcoin. As the first and most widely traded cryptocurrency, bitcoin is often seen as a representation of the larger cryptocurrency ecosystem, fo… [+13892 chars]",2022-05-20,en
"The crypto crash, in 10 charts","On Twitter, users tell the story of Luna, Bitcoin, and Ethereum’s downfall in data visualizations.
As the cryptocurrency market burns through its worst crash in years, Twitter is ablaze with ominous-looking charts suggesting that a new crypto winter is here.R…","As the cryptocurrency market burns through its worst crash in years, Twitter is ablaze with ominous-looking charts suggesting that a new crypto winter is here.
The great downturn came during a beari… [+4233 chars]",2022-05-12,en
Cryptoverse: Venture capitalists catch crypto fever - Reuters,Cryptoverse: Venture capitalists catch crypto fever  Reuters,"May 3 (Reuters) - Venture capital is making a big move on crypto in 2022.
Scared of being left in the digital dust, private equity investors are stampeding towards crypto projects - blockchain-based… [+3952 chars]",2022-05-03,en
How the Anchor protocol helped sink Terra,"If a 20 percent interest rate sounds too good to be true, it probably is. Ultimately, Anchor weighed its investors down when Terra ran aground.","Illustration by Alex Castro / The Verge

 

 If Do Kwon didn’t exist, someone would have had to invent him. For instance, there’s the bets he made — worth $11 million in total and held in escrow by … [+8192 chars]",2022-05-20,en
Key Words: Crypto investor Barry Silbert offers sympathy and advice to those who have lost fortunes this week,It's been a tough six months to be a crypto investor.,"Billionaire crypto investor, Barry Silbert, the founder and CEO of Digital Currency Group, on Saturday offered sympathy and advice to those who have lost fortunes recently. Its been a tough six month… [+2142 chars]",2022-05-14,en
