,Fundamentals,RSI Reco,SMA Reco,Risk
AAPL,Sell,Sell,Sell,High Risk
MSFT,Buy,Sell,Sell,Low Risk
GOOG,Sell,Buy,Sell,High Risk
AMZN,Sell,Sell,Buy,High Risk
TSLA,Sell,Sell,Sell,High Risk
BRK-A,Sell,Sell,Sell,Low Risk
FB,Sell,Sell,Sell,High Risk
JNJ,Buy,Buy,Sell,Low Risk
UNH,Buy,Sell,Sell,Low Risk
NVDA,Sell,Sell,Sell,High Risk
V,Sell,Sell,Sell,Low Risk
XOM,Buy,Sell,Sell,High Risk
JPM,Buy,Buy,Sell,High Risk
MA,Sell,Buy,Sell,Low Risk
PG,Sell,Buy,Buy,Low Risk
CVX,Buy,Sell,Sell,High Risk
WMT,Sell,Sell,Sell,Low Risk
HD,Buy,Buy,Sell,Low Risk
LLY,Sell,Buy,Sell,Low Risk
BAC,Sell,Sell,Sell,High Risk
